,index,Year,HBR,HBRQF,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,InjuryLocation,InjuryLocationQF,InjuryType,InjuryTypeQF,NumberofDeaths
0,0,2012,S92000003,d,S92000003,d,All,d,All,d,All,d,All,d,1629
1,1,2012,S92000003,d,S92000003,d,All,d,All,d,All,d,Land transport accidents,,198
2,2,2012,S92000003,d,S92000003,d,All,d,All,d,All,d,Poisoning,,508
3,3,2012,S92000003,d,S92000003,d,All,d,All,d,All,d,Falls,,705
4,4,2012,S92000003,d,S92000003,d,All,d,All,d,All,d,"Struck by,against",,3
5,5,2012,S92000003,d,S92000003,d,All,d,All,d,All,d,Crushing,,1
6,6,2012,S92000003,d,S92000003,d,All,d,All,d,All,d,Scalds,,2
7,7,2012,S92000003,d,S92000003,d,All,d,All,d,All,d,Accidental exposure,,64
8,8,2012,S92000003,d,S92000003,d,All,d,All,d,All,d,Other,,148
9,963,2012,S08000015,,S12000008,,All,d,All,d,All,d,All,d,36
10,964,2012,S08000015,,S12000008,,All,d,All,d,All,d,Land transport accidents,,2
11,965,2012,S08000015,,S12000008,,All,d,All,d,All,d,Poisoning,,19
12,966,2012,S08000015,,S12000008,,All,d,All,d,All,d,Falls,,12
13,967,2012,S08000015,,S12000008,,All,d,All,d,All,d,"Struck by,against",,0
14,968,2012,S08000015,,S12000008,,All,d,All,d,All,d,Crushing,,0
15,969,2012,S08000015,,S12000008,,All,d,All,d,All,d,Scalds,,0
16,970,2012,S08000015,,S12000008,,All,d,All,d,All,d,Accidental exposure,,2
17,971,2012,S08000015,,S12000008,,All,d,All,d,All,d,Other,,1
18,1467,2012,S08000015,,S12000021,,All,d,All,d,All,d,All,d,38
19,1468,2012,S08000015,,S12000021,,All,d,All,d,All,d,Land transport accidents,,2
20,1469,2012,S08000015,,S12000021,,All,d,All,d,All,d,Poisoning,,21
21,1470,2012,S08000015,,S12000021,,All,d,All,d,All,d,Falls,,9
22,1471,2012,S08000015,,S12000021,,All,d,All,d,All,d,"Struck by,against",,0
23,1472,2012,S08000015,,S12000021,,All,d,All,d,All,d,Crushing,,0
24,1473,2012,S08000015,,S12000021,,All,d,All,d,All,d,Scalds,,0
25,1474,2012,S08000015,,S12000021,,All,d,All,d,All,d,Accidental exposure,,4
26,1475,2012,S08000015,,S12000021,,All,d,All,d,All,d,Other,,2
27,1953,2012,S08000015,,S12000028,,All,d,All,d,All,d,All,d,38
28,1954,2012,S08000015,,S12000028,,All,d,All,d,All,d,Land transport accidents,,4
29,1955,2012,S08000015,,S12000028,,All,d,All,d,All,d,Poisoning,,11
30,1956,2012,S08000015,,S12000028,,All,d,All,d,All,d,Falls,,17
31,1957,2012,S08000015,,S12000028,,All,d,All,d,All,d,"Struck by,against",,1
32,1958,2012,S08000015,,S12000028,,All,d,All,d,All,d,Crushing,,0
33,1959,2012,S08000015,,S12000028,,All,d,All,d,All,d,Scalds,,0
34,1960,2012,S08000015,,S12000028,,All,d,All,d,All,d,Accidental exposure,,0
35,1961,2012,S08000015,,S12000028,,All,d,All,d,All,d,Other,,5
36,2466,2012,S08000016,,S12000026,,All,d,All,d,All,d,All,d,44
37,2467,2012,S08000016,,S12000026,,All,d,All,d,All,d,Land transport accidents,,6
38,2468,2012,S08000016,,S12000026,,All,d,All,d,All,d,Poisoning,,3
39,2469,2012,S08000016,,S12000026,,All,d,All,d,All,d,Falls,,31
40,2470,2012,S08000016,,S12000026,,All,d,All,d,All,d,"Struck by,against",,0
41,2471,2012,S08000016,,S12000026,,All,d,All,d,All,d,Crushing,,0
42,2472,2012,S08000016,,S12000026,,All,d,All,d,All,d,Scalds,,0
43,2473,2012,S08000016,,S12000026,,All,d,All,d,All,d,Accidental exposure,,2
44,2474,2012,S08000016,,S12000026,,All,d,All,d,All,d,Other,,2
45,2970,2012,S08000017,,S12000006,,All,d,All,d,All,d,All,d,47
46,2971,2012,S08000017,,S12000006,,All,d,All,d,All,d,Land transport accidents,,10
47,2972,2012,S08000017,,S12000006,,All,d,All,d,All,d,Poisoning,,3
48,2973,2012,S08000017,,S12000006,,All,d,All,d,All,d,Falls,,33
49,2974,2012,S08000017,,S12000006,,All,d,All,d,All,d,"Struck by,against",,0
50,2975,2012,S08000017,,S12000006,,All,d,All,d,All,d,Crushing,,0
51,2976,2012,S08000017,,S12000006,,All,d,All,d,All,d,Scalds,,0
52,2977,2012,S08000017,,S12000006,,All,d,All,d,All,d,Accidental exposure,,1
53,2978,2012,S08000017,,S12000006,,All,d,All,d,All,d,Other,,0
54,3510,2012,S08000019,,S12000005,,All,d,All,d,All,d,All,d,11
55,3511,2012,S08000019,,S12000005,,All,d,All,d,All,d,Land transport accidents,,0
56,3512,2012,S08000019,,S12000005,,All,d,All,d,All,d,Poisoning,,2
57,3513,2012,S08000019,,S12000005,,All,d,All,d,All,d,Falls,,7
58,3514,2012,S08000019,,S12000005,,All,d,All,d,All,d,"Struck by,against",,0
59,3515,2012,S08000019,,S12000005,,All,d,All,d,All,d,Crushing,,0
60,3516,2012,S08000019,,S12000005,,All,d,All,d,All,d,Scalds,,0
61,3517,2012,S08000019,,S12000005,,All,d,All,d,All,d,Accidental exposure,,1
62,3518,2012,S08000019,,S12000005,,All,d,All,d,All,d,Other,,1
63,3888,2012,S08000019,,S12000014,,All,d,All,d,All,d,All,d,46
64,3889,2012,S08000019,,S12000014,,All,d,All,d,All,d,Land transport accidents,,10
65,3890,2012,S08000019,,S12000014,,All,d,All,d,All,d,Poisoning,,8
66,3891,2012,S08000019,,S12000014,,All,d,All,d,All,d,Falls,,21
67,3892,2012,S08000019,,S12000014,,All,d,All,d,All,d,"Struck by,against",,0
68,3893,2012,S08000019,,S12000014,,All,d,All,d,All,d,Crushing,,0
69,3894,2012,S08000019,,S12000014,,All,d,All,d,All,d,Scalds,,0
70,3895,2012,S08000019,,S12000014,,All,d,All,d,All,d,Accidental exposure,,1
71,3896,2012,S08000019,,S12000014,,All,d,All,d,All,d,Other,,6
72,4455,2012,S08000019,,S12000030,,All,d,All,d,All,d,All,d,33
73,4456,2012,S08000019,,S12000030,,All,d,All,d,All,d,Land transport accidents,,3
74,4457,2012,S08000019,,S12000030,,All,d,All,d,All,d,Poisoning,,6
75,4458,2012,S08000019,,S12000030,,All,d,All,d,All,d,Falls,,19
76,4459,2012,S08000019,,S12000030,,All,d,All,d,All,d,"Struck by,against",,0
77,4460,2012,S08000019,,S12000030,,All,d,All,d,All,d,Crushing,,0
78,4461,2012,S08000019,,S12000030,,All,d,All,d,All,d,Scalds,,0
79,4462,2012,S08000019,,S12000030,,All,d,All,d,All,d,Accidental exposure,,0
80,4463,2012,S08000019,,S12000030,,All,d,All,d,All,d,Other,,5
81,4986,2012,S08000020,,S12000020,,All,d,All,d,All,d,All,d,26
82,4987,2012,S08000020,,S12000020,,All,d,All,d,All,d,Land transport accidents,,5
83,4988,2012,S08000020,,S12000020,,All,d,All,d,All,d,Poisoning,,7
84,4989,2012,S08000020,,S12000020,,All,d,All,d,All,d,Falls,,8
85,4990,2012,S08000020,,S12000020,,All,d,All,d,All,d,"Struck by,against",,1
86,4991,2012,S08000020,,S12000020,,All,d,All,d,All,d,Crushing,,0
87,4992,2012,S08000020,,S12000020,,All,d,All,d,All,d,Scalds,,0
88,4993,2012,S08000020,,S12000020,,All,d,All,d,All,d,Accidental exposure,,1
89,4994,2012,S08000020,,S12000020,,All,d,All,d,All,d,Other,,4
90,5418,2012,S08000020,,S12000033,,All,d,All,d,All,d,All,d,54
91,5419,2012,S08000020,,S12000033,,All,d,All,d,All,d,Land transport accidents,,11
92,5420,2012,S08000020,,S12000033,,All,d,All,d,All,d,Poisoning,,15
93,5421,2012,S08000020,,S12000033,,All,d,All,d,All,d,Falls,,14
94,5422,2012,S08000020,,S12000033,,All,d,All,d,All,d,"Struck by,against",,0
95,5423,2012,S08000020,,S12000033,,All,d,All,d,All,d,Crushing,,0
96,5424,2012,S08000020,,S12000033,,All,d,All,d,All,d,Scalds,,0
97,5425,2012,S08000020,,S12000033,,All,d,All,d,All,d,Accidental exposure,,5
98,5426,2012,S08000020,,S12000033,,All,d,All,d,All,d,Other,,9
99,6012,2012,S08000020,,S12000034,,All,d,All,d,All,d,All,d,57
100,6013,2012,S08000020,,S12000034,,All,d,All,d,All,d,Land transport accidents,,10
101,6014,2012,S08000020,,S12000034,,All,d,All,d,All,d,Poisoning,,8
102,6015,2012,S08000020,,S12000034,,All,d,All,d,All,d,Falls,,32
103,6016,2012,S08000020,,S12000034,,All,d,All,d,All,d,"Struck by,against",,0
104,6017,2012,S08000020,,S12000034,,All,d,All,d,All,d,Crushing,,0
105,6018,2012,S08000020,,S12000034,,All,d,All,d,All,d,Scalds,,0
106,6019,2012,S08000020,,S12000034,,All,d,All,d,All,d,Accidental exposure,,1
107,6020,2012,S08000020,,S12000034,,All,d,All,d,All,d,Other,,6
108,6624,2012,S08000022,,S12000017,,All,d,All,d,All,d,All,d,95
109,6625,2012,S08000022,,S12000017,,All,d,All,d,All,d,Land transport accidents,,16
110,6626,2012,S08000022,,S12000017,,All,d,All,d,All,d,Poisoning,,21
111,6627,2012,S08000022,,S12000017,,All,d,All,d,All,d,Falls,,40
112,6628,2012,S08000022,,S12000017,,All,d,All,d,All,d,"Struck by,against",,0
113,6629,2012,S08000022,,S12000017,,All,d,All,d,All,d,Crushing,,0
114,6630,2012,S08000022,,S12000017,,All,d,All,d,All,d,Scalds,,0
115,6631,2012,S08000022,,S12000017,,All,d,All,d,All,d,Accidental exposure,,2
116,6632,2012,S08000022,,S12000017,,All,d,All,d,All,d,Other,,16
117,7344,2012,S08000022,,S12000035,,All,d,All,d,All,d,All,d,33
118,7345,2012,S08000022,,S12000035,,All,d,All,d,All,d,Land transport accidents,,2
119,7346,2012,S08000022,,S12000035,,All,d,All,d,All,d,Poisoning,,6
120,7347,2012,S08000022,,S12000035,,All,d,All,d,All,d,Falls,,14
121,7348,2012,S08000022,,S12000035,,All,d,All,d,All,d,"Struck by,against",,0
122,7349,2012,S08000022,,S12000035,,All,d,All,d,All,d,Crushing,,0
123,7350,2012,S08000022,,S12000035,,All,d,All,d,All,d,Scalds,,0
124,7351,2012,S08000022,,S12000035,,All,d,All,d,All,d,Accidental exposure,,3
125,7352,2012,S08000022,,S12000035,,All,d,All,d,All,d,Other,,8
126,7857,2012,S08000024,,S12000010,,All,d,All,d,All,d,All,d,18
127,7858,2012,S08000024,,S12000010,,All,d,All,d,All,d,Land transport accidents,,2
128,7859,2012,S08000024,,S12000010,,All,d,All,d,All,d,Poisoning,,3
129,7860,2012,S08000024,,S12000010,,All,d,All,d,All,d,Falls,,13
130,7861,2012,S08000024,,S12000010,,All,d,All,d,All,d,"Struck by,against",,0
131,7862,2012,S08000024,,S12000010,,All,d,All,d,All,d,Crushing,,0
132,7863,2012,S08000024,,S12000010,,All,d,All,d,All,d,Scalds,,0
133,7864,2012,S08000024,,S12000010,,All,d,All,d,All,d,Accidental exposure,,0
134,7865,2012,S08000024,,S12000010,,All,d,All,d,All,d,Other,,0
135,8289,2012,S08000024,,S12000019,,All,d,All,d,All,d,All,d,15
136,8290,2012,S08000024,,S12000019,,All,d,All,d,All,d,Land transport accidents,,1
137,8291,2012,S08000024,,S12000019,,All,d,All,d,All,d,Poisoning,,4
138,8292,2012,S08000024,,S12000019,,All,d,All,d,All,d,Falls,,6
139,8293,2012,S08000024,,S12000019,,All,d,All,d,All,d,"Struck by,against",,0
140,8294,2012,S08000024,,S12000019,,All,d,All,d,All,d,Crushing,,0
141,8295,2012,S08000024,,S12000019,,All,d,All,d,All,d,Scalds,,0
142,8296,2012,S08000024,,S12000019,,All,d,All,d,All,d,Accidental exposure,,0
143,8297,2012,S08000024,,S12000019,,All,d,All,d,All,d,Other,,4
144,8685,2012,S08000024,,S12000036,,All,d,All,d,All,d,All,d,129
145,8686,2012,S08000024,,S12000036,,All,d,All,d,All,d,Land transport accidents,,23
146,8687,2012,S08000024,,S12000036,,All,d,All,d,All,d,Poisoning,,39
147,8688,2012,S08000024,,S12000036,,All,d,All,d,All,d,Falls,,49
148,8689,2012,S08000024,,S12000036,,All,d,All,d,All,d,"Struck by,against",,0
149,8690,2012,S08000024,,S12000036,,All,d,All,d,All,d,Crushing,,0
150,8691,2012,S08000024,,S12000036,,All,d,All,d,All,d,Scalds,,1
151,8692,2012,S08000024,,S12000036,,All,d,All,d,All,d,Accidental exposure,,9
152,8693,2012,S08000024,,S12000036,,All,d,All,d,All,d,Other,,8
153,9387,2012,S08000024,,S12000040,,All,d,All,d,All,d,All,d,34
154,9388,2012,S08000024,,S12000040,,All,d,All,d,All,d,Land transport accidents,,6
155,9389,2012,S08000024,,S12000040,,All,d,All,d,All,d,Poisoning,,8
156,9390,2012,S08000024,,S12000040,,All,d,All,d,All,d,Falls,,12
157,9391,2012,S08000024,,S12000040,,All,d,All,d,All,d,"Struck by,against",,1
158,9392,2012,S08000024,,S12000040,,All,d,All,d,All,d,Crushing,,0
159,9393,2012,S08000024,,S12000040,,All,d,All,d,All,d,Scalds,,1
160,9394,2012,S08000024,,S12000040,,All,d,All,d,All,d,Accidental exposure,,1
161,9395,2012,S08000024,,S12000040,,All,d,All,d,All,d,Other,,5
162,9999,2012,S08000025,,S12000023,,All,d,All,d,All,d,All,d,7
163,10000,2012,S08000025,,S12000023,,All,d,All,d,All,d,Land transport accidents,,5
164,10001,2012,S08000025,,S12000023,,All,d,All,d,All,d,Poisoning,,1
165,10002,2012,S08000025,,S12000023,,All,d,All,d,All,d,Falls,,0
166,10003,2012,S08000025,,S12000023,,All,d,All,d,All,d,"Struck by,against",,0
167,10004,2012,S08000025,,S12000023,,All,d,All,d,All,d,Crushing,,0
168,10005,2012,S08000025,,S12000023,,All,d,All,d,All,d,Scalds,,0
169,10006,2012,S08000025,,S12000023,,All,d,All,d,All,d,Accidental exposure,,0
170,10007,2012,S08000025,,S12000023,,All,d,All,d,All,d,Other,,1
171,10296,2012,S08000026,,S12000027,,All,d,All,d,All,d,All,d,8
172,10297,2012,S08000026,,S12000027,,All,d,All,d,All,d,Land transport accidents,,0
173,10298,2012,S08000026,,S12000027,,All,d,All,d,All,d,Poisoning,,2
174,10299,2012,S08000026,,S12000027,,All,d,All,d,All,d,Falls,,5
175,10300,2012,S08000026,,S12000027,,All,d,All,d,All,d,"Struck by,against",,0
176,10301,2012,S08000026,,S12000027,,All,d,All,d,All,d,Crushing,,0
177,10302,2012,S08000026,,S12000027,,All,d,All,d,All,d,Scalds,,0
178,10303,2012,S08000026,,S12000027,,All,d,All,d,All,d,Accidental exposure,,0
179,10304,2012,S08000026,,S12000027,,All,d,All,d,All,d,Other,,1
180,10575,2012,S08000028,,S12000013,,All,d,All,d,All,d,All,d,11
181,10576,2012,S08000028,,S12000013,,All,d,All,d,All,d,Land transport accidents,,2
182,10577,2012,S08000028,,S12000013,,All,d,All,d,All,d,Poisoning,,1
183,10578,2012,S08000028,,S12000013,,All,d,All,d,All,d,Falls,,4
184,10579,2012,S08000028,,S12000013,,All,d,All,d,All,d,"Struck by,against",,0
185,10580,2012,S08000028,,S12000013,,All,d,All,d,All,d,Crushing,,1
186,10581,2012,S08000028,,S12000013,,All,d,All,d,All,d,Scalds,,0
187,10582,2012,S08000028,,S12000013,,All,d,All,d,All,d,Accidental exposure,,0
188,10583,2012,S08000028,,S12000013,,All,d,All,d,All,d,Other,,3
189,10917,2012,S08000029,,S12000047,,All,d,All,d,All,d,All,d,75
190,10918,2012,S08000029,,S12000047,,All,d,All,d,All,d,Land transport accidents,,10
191,10919,2012,S08000029,,S12000047,,All,d,All,d,All,d,Poisoning,,15
192,10920,2012,S08000029,,S12000047,,All,d,All,d,All,d,Falls,,45
193,10921,2012,S08000029,,S12000047,,All,d,All,d,All,d,"Struck by,against",,0
194,10922,2012,S08000029,,S12000047,,All,d,All,d,All,d,Crushing,,0
195,10923,2012,S08000029,,S12000047,,All,d,All,d,All,d,Scalds,,0
196,10924,2012,S08000029,,S12000047,,All,d,All,d,All,d,Accidental exposure,,2
197,10925,2012,S08000029,,S12000047,,All,d,All,d,All,d,Other,,3
198,11511,2012,S08000030,,S12000041,,All,d,All,d,All,d,All,d,31
199,11512,2012,S08000030,,S12000041,,All,d,All,d,All,d,Land transport accidents,,8
200,11513,2012,S08000030,,S12000041,,All,d,All,d,All,d,Poisoning,,7
201,11514,2012,S08000030,,S12000041,,All,d,All,d,All,d,Falls,,15
202,11515,2012,S08000030,,S12000041,,All,d,All,d,All,d,"Struck by,against",,0
203,11516,2012,S08000030,,S12000041,,All,d,All,d,All,d,Crushing,,0
204,11517,2012,S08000030,,S12000041,,All,d,All,d,All,d,Scalds,,0
205,11518,2012,S08000030,,S12000041,,All,d,All,d,All,d,Accidental exposure,,0
206,11519,2012,S08000030,,S12000041,,All,d,All,d,All,d,Other,,1
207,11934,2012,S08000030,,S12000042,,All,d,All,d,All,d,All,d,76
208,11935,2012,S08000030,,S12000042,,All,d,All,d,All,d,Land transport accidents,,1
209,11936,2012,S08000030,,S12000042,,All,d,All,d,All,d,Poisoning,,33
210,11937,2012,S08000030,,S12000042,,All,d,All,d,All,d,Falls,,33
211,11938,2012,S08000030,,S12000042,,All,d,All,d,All,d,"Struck by,against",,0
212,11939,2012,S08000030,,S12000042,,All,d,All,d,All,d,Crushing,,0
213,11940,2012,S08000030,,S12000042,,All,d,All,d,All,d,Scalds,,0
214,11941,2012,S08000030,,S12000042,,All,d,All,d,All,d,Accidental exposure,,2
215,11942,2012,S08000030,,S12000042,,All,d,All,d,All,d,Other,,7
216,12528,2012,S08000030,,S12000048,,All,d,All,d,All,d,All,d,52
217,12529,2012,S08000030,,S12000048,,All,d,All,d,All,d,Land transport accidents,,9
218,12530,2012,S08000030,,S12000048,,All,d,All,d,All,d,Poisoning,,11
219,12531,2012,S08000030,,S12000048,,All,d,All,d,All,d,Falls,,23
220,12532,2012,S08000030,,S12000048,,All,d,All,d,All,d,"Struck by,against",,0
221,12533,2012,S08000030,,S12000048,,All,d,All,d,All,d,Crushing,,0
222,12534,2012,S08000030,,S12000048,,All,d,All,d,All,d,Scalds,,0
223,12535,2012,S08000030,,S12000048,,All,d,All,d,All,d,Accidental exposure,,2
224,12536,2012,S08000030,,S12000048,,All,d,All,d,All,d,Other,,7
225,13122,2012,S08000031,,S12000011,,All,d,All,d,All,d,All,d,22
226,13123,2012,S08000031,,S12000011,,All,d,All,d,All,d,Land transport accidents,,1
227,13124,2012,S08000031,,S12000011,,All,d,All,d,All,d,Poisoning,,6
228,13125,2012,S08000031,,S12000011,,All,d,All,d,All,d,Falls,,13
229,13126,2012,S08000031,,S12000011,,All,d,All,d,All,d,"Struck by,against",,0
230,13127,2012,S08000031,,S12000011,,All,d,All,d,All,d,Crushing,,0
231,13128,2012,S08000031,,S12000011,,All,d,All,d,All,d,Scalds,,0
232,13129,2012,S08000031,,S12000011,,All,d,All,d,All,d,Accidental exposure,,1
233,13130,2012,S08000031,,S12000011,,All,d,All,d,All,d,Other,,1
234,13545,2012,S08000031,,S12000018,,All,d,All,d,All,d,All,d,29
235,13546,2012,S08000031,,S12000018,,All,d,All,d,All,d,Land transport accidents,,2
236,13547,2012,S08000031,,S12000018,,All,d,All,d,All,d,Poisoning,,11
237,13548,2012,S08000031,,S12000018,,All,d,All,d,All,d,Falls,,14
238,13549,2012,S08000031,,S12000018,,All,d,All,d,All,d,"Struck by,against",,0
239,13550,2012,S08000031,,S12000018,,All,d,All,d,All,d,Crushing,,0
240,13551,2012,S08000031,,S12000018,,All,d,All,d,All,d,Scalds,,0
241,13552,2012,S08000031,,S12000018,,All,d,All,d,All,d,Accidental exposure,,1
242,13553,2012,S08000031,,S12000018,,All,d,All,d,All,d,Other,,1
243,13950,2012,S08000031,,S12000038,,All,d,All,d,All,d,All,d,65
244,13951,2012,S08000031,,S12000038,,All,d,All,d,All,d,Land transport accidents,,7
245,13952,2012,S08000031,,S12000038,,All,d,All,d,All,d,Poisoning,,28
246,13953,2012,S08000031,,S12000038,,All,d,All,d,All,d,Falls,,25
247,13954,2012,S08000031,,S12000038,,All,d,All,d,All,d,"Struck by,against",,0
248,13955,2012,S08000031,,S12000038,,All,d,All,d,All,d,Crushing,,0
249,13956,2012,S08000031,,S12000038,,All,d,All,d,All,d,Scalds,,0
250,13957,2012,S08000031,,S12000038,,All,d,All,d,All,d,Accidental exposure,,3
251,13958,2012,S08000031,,S12000038,,All,d,All,d,All,d,Other,,2
252,14580,2012,S08000031,,S12000039,,All,d,All,d,All,d,All,d,47
253,14581,2012,S08000031,,S12000039,,All,d,All,d,All,d,Land transport accidents,,5
254,14582,2012,S08000031,,S12000039,,All,d,All,d,All,d,Poisoning,,25
255,14583,2012,S08000031,,S12000039,,All,d,All,d,All,d,Falls,,14
256,14584,2012,S08000031,,S12000039,,All,d,All,d,All,d,"Struck by,against",,0
257,14585,2012,S08000031,,S12000039,,All,d,All,d,All,d,Crushing,,0
258,14586,2012,S08000031,,S12000039,,All,d,All,d,All,d,Scalds,,0
259,14587,2012,S08000031,,S12000039,,All,d,All,d,All,d,Accidental exposure,,1
260,14588,2012,S08000031,,S12000039,,All,d,All,d,All,d,Other,,2
261,15066,2012,S08000031,,S12000045,,All,d,All,d,All,d,All,d,24
262,15067,2012,S08000031,,S12000045,,All,d,All,d,All,d,Land transport accidents,,1
263,15068,2012,S08000031,,S12000045,,All,d,All,d,All,d,Poisoning,,3
264,15069,2012,S08000031,,S12000045,,All,d,All,d,All,d,Falls,,13
265,15070,2012,S08000031,,S12000045,,All,d,All,d,All,d,"Struck by,against",,0
266,15071,2012,S08000031,,S12000045,,All,d,All,d,All,d,Crushing,,0
267,15072,2012,S08000031,,S12000045,,All,d,All,d,All,d,Scalds,,0
268,15073,2012,S08000031,,S12000045,,All,d,All,d,All,d,Accidental exposure,,3
269,15074,2012,S08000031,,S12000045,,All,d,All,d,All,d,Other,,4
270,15507,2012,S08000031,,S12000049,,All,d,All,d,All,d,All,d,224
271,15508,2012,S08000031,,S12000049,,All,d,All,d,All,d,Land transport accidents,,11
272,15509,2012,S08000031,,S12000049,,All,d,All,d,All,d,Poisoning,,113
273,15510,2012,S08000031,,S12000049,,All,d,All,d,All,d,Falls,,69
274,15511,2012,S08000031,,S12000049,,All,d,All,d,All,d,"Struck by,against",,0
275,15512,2012,S08000031,,S12000049,,All,d,All,d,All,d,Crushing,,0
276,15513,2012,S08000031,,S12000049,,All,d,All,d,All,d,Scalds,,0
277,15514,2012,S08000031,,S12000049,,All,d,All,d,All,d,Accidental exposure,,8
278,15515,2012,S08000031,,S12000049,,All,d,All,d,All,d,Other,,23
279,16272,2012,S08000032,,S12000029,,All,d,All,d,All,d,All,d,107
280,16273,2012,S08000032,,S12000029,,All,d,All,d,All,d,Land transport accidents,,13
281,16274,2012,S08000032,,S12000029,,All,d,All,d,All,d,Poisoning,,33
282,16275,2012,S08000032,,S12000029,,All,d,All,d,All,d,Falls,,52
283,16276,2012,S08000032,,S12000029,,All,d,All,d,All,d,"Struck by,against",,0
284,16277,2012,S08000032,,S12000029,,All,d,All,d,All,d,Crushing,,0
285,16278,2012,S08000032,,S12000029,,All,d,All,d,All,d,Scalds,,0
286,16279,2012,S08000032,,S12000029,,All,d,All,d,All,d,Accidental exposure,,4
287,16280,2012,S08000032,,S12000029,,All,d,All,d,All,d,Other,,5
288,16947,2012,S08000032,,S12000050,,All,d,All,d,All,d,All,d,97
289,16948,2012,S08000032,,S12000050,,All,d,All,d,All,d,Land transport accidents,,10
290,16949,2012,S08000032,,S12000050,,All,d,All,d,All,d,Poisoning,,35
291,16950,2012,S08000032,,S12000050,,All,d,All,d,All,d,Falls,,43
292,16951,2012,S08000032,,S12000050,,All,d,All,d,All,d,"Struck by,against",,0
293,16952,2012,S08000032,,S12000050,,All,d,All,d,All,d,Crushing,,0
294,16953,2012,S08000032,,S12000050,,All,d,All,d,All,d,Scalds,,0
295,16954,2012,S08000032,,S12000050,,All,d,All,d,All,d,Accidental exposure,,4
296,16955,2012,S08000032,,S12000050,,All,d,All,d,All,d,Other,,5
297,17586,2013,S92000003,d,S92000003,d,All,d,All,d,All,d,All,d,1664
298,17587,2013,S92000003,d,S92000003,d,All,d,All,d,All,d,Land transport accidents,,189
299,17588,2013,S92000003,d,S92000003,d,All,d,All,d,All,d,Poisoning,,510
300,17589,2013,S92000003,d,S92000003,d,All,d,All,d,All,d,Falls,,718
301,17590,2013,S92000003,d,S92000003,d,All,d,All,d,All,d,"Struck by,against",,2
302,17591,2013,S92000003,d,S92000003,d,All,d,All,d,All,d,Crushing,,1
303,17592,2013,S92000003,d,S92000003,d,All,d,All,d,All,d,Scalds,,2
304,17593,2013,S92000003,d,S92000003,d,All,d,All,d,All,d,Accidental exposure,,70
305,17594,2013,S92000003,d,S92000003,d,All,d,All,d,All,d,Other,,172
306,18621,2013,S08000015,,S12000008,,All,d,All,d,All,d,All,d,44
307,18622,2013,S08000015,,S12000008,,All,d,All,d,All,d,Land transport accidents,,7
308,18623,2013,S08000015,,S12000008,,All,d,All,d,All,d,Poisoning,,15
309,18624,2013,S08000015,,S12000008,,All,d,All,d,All,d,Falls,,15
310,18625,2013,S08000015,,S12000008,,All,d,All,d,All,d,"Struck by,against",,0
311,18626,2013,S08000015,,S12000008,,All,d,All,d,All,d,Crushing,,0
312,18627,2013,S08000015,,S12000008,,All,d,All,d,All,d,Scalds,,0
313,18628,2013,S08000015,,S12000008,,All,d,All,d,All,d,Accidental exposure,,1
314,18629,2013,S08000015,,S12000008,,All,d,All,d,All,d,Other,,6
315,19134,2013,S08000015,,S12000021,,All,d,All,d,All,d,All,d,40
316,19135,2013,S08000015,,S12000021,,All,d,All,d,All,d,Land transport accidents,,6
317,19136,2013,S08000015,,S12000021,,All,d,All,d,All,d,Poisoning,,11
318,19137,2013,S08000015,,S12000021,,All,d,All,d,All,d,Falls,,16
319,19138,2013,S08000015,,S12000021,,All,d,All,d,All,d,"Struck by,against",,0
320,19139,2013,S08000015,,S12000021,,All,d,All,d,All,d,Crushing,,0
321,19140,2013,S08000015,,S12000021,,All,d,All,d,All,d,Scalds,,0
322,19141,2013,S08000015,,S12000021,,All,d,All,d,All,d,Accidental exposure,,2
323,19142,2013,S08000015,,S12000021,,All,d,All,d,All,d,Other,,5
324,19692,2013,S08000015,,S12000028,,All,d,All,d,All,d,All,d,37
325,19693,2013,S08000015,,S12000028,,All,d,All,d,All,d,Land transport accidents,,5
326,19694,2013,S08000015,,S12000028,,All,d,All,d,All,d,Poisoning,,12
327,19695,2013,S08000015,,S12000028,,All,d,All,d,All,d,Falls,,17
328,19696,2013,S08000015,,S12000028,,All,d,All,d,All,d,"Struck by,against",,0
329,19697,2013,S08000015,,S12000028,,All,d,All,d,All,d,Crushing,,0
330,19698,2013,S08000015,,S12000028,,All,d,All,d,All,d,Scalds,,0
331,19699,2013,S08000015,,S12000028,,All,d,All,d,All,d,Accidental exposure,,0
332,19700,2013,S08000015,,S12000028,,All,d,All,d,All,d,Other,,3
333,20160,2013,S08000016,,S12000026,,All,d,All,d,All,d,All,d,36
334,20161,2013,S08000016,,S12000026,,All,d,All,d,All,d,Land transport accidents,,5
335,20162,2013,S08000016,,S12000026,,All,d,All,d,All,d,Poisoning,,3
336,20163,2013,S08000016,,S12000026,,All,d,All,d,All,d,Falls,,21
337,20164,2013,S08000016,,S12000026,,All,d,All,d,All,d,"Struck by,against",,0
338,20165,2013,S08000016,,S12000026,,All,d,All,d,All,d,Crushing,,0
339,20166,2013,S08000016,,S12000026,,All,d,All,d,All,d,Scalds,,0
340,20167,2013,S08000016,,S12000026,,All,d,All,d,All,d,Accidental exposure,,1
341,20168,2013,S08000016,,S12000026,,All,d,All,d,All,d,Other,,6
